DT_DAY;TX_PROV_DESCR_NL
09-Feb-17;Provincie Antwerpen
05-May-17;Provincie Antwerpen
23-Apr-17;Provincie Antwerpen
12-Jan-17;Provincie Antwerpen
07-Mar-17;Provincie Antwerpen
08-Mar-17;Provincie Antwerpen
21-Jan-17;Provincie Antwerpen
03-Apr-17;Provincie Antwerpen
01-Feb-17;Provincie Antwerpen
05-Apr-17;Provincie Antwerpen
03-May-17;Provincie Antwerpen
26-Jan-17;Provincie Antwerpen
21-Feb-17;Provincie Antwerpen
20-Apr-17;Provincie Antwerpen
01-Mar-17;Provincie Antwerpen
21-Feb-17;Provincie Antwerpen
20-Apr-17;Provincie Antwerpen
27-Jan-17;Provincie Antwerpen
06-Apr-17;Provincie Antwerpen
27-Jan-17;Provincie Antwerpen
06-Jan-17;Provincie Antwerpen
26-Apr-17;Provincie Antwerpen
15-Feb-17;Provincie Antwerpen
21-Jan-17;Provincie Antwerpen
21-Apr-17;Provincie Antwerpen
27-Jan-17;Provincie Antwerpen
01-Mar-17;Provincie Antwerpen
09-Mar-17;Provincie Antwerpen
06-Mar-17;Provincie Antwerpen
16-Jan-17;Provincie Antwerpen
07-Feb-17;Provincie Antwerpen
04-Mar-17;Provincie Antwerpen
23-Feb-17;Provincie Antwerpen
08-Mar-17;Provincie Antwerpen
08-May-17;Provincie Antwerpen
06-Mar-17;Provincie Antwerpen
26-Jan-17;Provincie Antwerpen
27-Mar-17;Provincie Antwerpen
28-Mar-17;Provincie Antwerpen
20-Feb-17;Provincie Antwerpen
08-Feb-17;Provincie Antwerpen
05-May-17;Provincie Antwerpen
13-Mar-17;Provincie Antwerpen
23-Apr-17;Provincie Antwerpen
16-Mar-17;Provincie Antwerpen
07-Apr-17;Provincie Antwerpen
13-Apr-17;Provincie Antwerpen
16-Feb-17;Provincie Antwerpen
19-Jan-17;Provincie Antwerpen
27-Mar-17;Provincie Antwerpen
26-Feb-17;Provincie Antwerpen
18-Jan-17;Provincie Antwerpen
19-Apr-17;Provincie Antwerpen
13-Mar-17;Provincie Antwerpen
02-May-17;Provincie Antwerpen
05-Jan-17;Provincie Antwerpen
30-Apr-17;Provincie Antwerpen
28-Apr-17;Provincie Antwerpen
08-Apr-17;Provincie Antwerpen
23-Apr-17;Provincie Antwerpen
12-Mar-17;Provincie Antwerpen
