DT_DAY;TX_PROV_DESCR_NL
02-Mar-16;Provincie Antwerpen
23-Apr-16;Provincie Antwerpen
23-Apr-16;Provincie Antwerpen
06-Apr-16;Provincie Antwerpen
16-May-16;Provincie Antwerpen
04-Jul-16;Provincie Antwerpen
27-Apr-16;Provincie Antwerpen
30-Apr-16;Provincie Antwerpen
29-Mar-16;Provincie Antwerpen
08-Mar-16;Provincie Antwerpen
17-Feb-16;Provincie Antwerpen
28-May-16;Provincie Antwerpen
02-Mar-16;Provincie Antwerpen
02-Feb-16;Provincie Antwerpen
28-Jun-16;Provincie Antwerpen
25-Jan-16;Provincie Antwerpen
10-Apr-16;Provincie Antwerpen
29-Apr-16;Provincie Antwerpen
17-Jun-16;Provincie Antwerpen
18-Mar-16;Provincie Antwerpen
13-Jun-16;Provincie Antwerpen
30-Jun-16;Provincie Antwerpen
24-Mar-16;Provincie Antwerpen
29-Apr-16;Provincie Antwerpen
10-May-16;Provincie Antwerpen
07-May-16;Provincie Antwerpen
17-Jan-16;Provincie Antwerpen
04-May-16;Provincie Antwerpen
20-Jan-16;Provincie Antwerpen
17-Mar-16;Provincie Antwerpen
11-May-16;Provincie Antwerpen
06-Jun-16;Provincie Antwerpen
03-Jul-16;Provincie Antwerpen
29-May-16;Provincie Antwerpen
17-Jun-16;Provincie Antwerpen
09-Apr-16;Provincie Antwerpen
15-Mar-16;Provincie Antwerpen
08-Jun-16;Provincie Antwerpen
27-Apr-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
04-Jun-16;Provincie Antwerpen
26-May-16;Provincie Antwerpen
25-Mar-16;Provincie Antwerpen
28-May-16;Provincie Antwerpen
29-Jan-16;Provincie Antwerpen
11-Mar-16;Provincie Antwerpen
23-Jun-16;Provincie Antwerpen
19-Apr-16;Provincie Antwerpen
25-Jan-16;Provincie Antwerpen
11-Feb-16;Provincie Antwerpen
04-Mar-16;Provincie Antwerpen
26-Jun-16;Provincie Antwerpen
26-Apr-16;Provincie Antwerpen
26-Jan-16;Provincie Antwerpen
10-May-16;Provincie Antwerpen
06-Jun-16;Provincie Antwerpen
25-Jun-16;Provincie Antwerpen
05-May-16;Provincie Antwerpen
18-Apr-16;Provincie Antwerpen
01-May-16;Provincie Antwerpen
19-Feb-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
31-Mar-16;Provincie Antwerpen
13-Jan-16;Provincie Antwerpen
18-May-16;Provincie Antwerpen
19-Apr-16;Provincie Antwerpen
